,0
rankn_ctrx_quarter,39223.459419113155
rankp_ctrx_quarter,21725.310787854192
mcuentas_saldo,6537.005874091786
ctarjeta_visa_ratioavg6,5943.846158536276
rankp_mcaja_ahorro,4772.738863841057
cpayroll_trx,2835.9272873878467
Visa_Finiciomora,2809.1781588904055
ctrx_quarter_normalizado,2653.3321046187075
rankp_cdescubierto_preacordado,2630.4535717309313
rankp_mtarjeta_visa_consumo,2617.600304267565
mpayroll_sobre_edad,2558.0868095328015
mcaja_ahorro,2226.1220896965665
mprestamos_personales_ratioavg6,2006.2490499394737
Visa_mpagospesos,1701.4335779333114
ctarjeta_visa_transacciones_ratioavg6,1695.7318912038802
mcuenta_corriente,1546.4119135605492
mtarjeta_visa_consumo,1440.409505411148
Visa_status_tend6,1250.5111752637226
rankp_cpayroll_trx,1239.0788978300093
rankn_mtarjeta_visa_consumo,1145.7330669409432
rankp_ctarjeta_visa_transacciones,1126.3194004888535
mprestamos_personales_min6,1112.304035176595
cproductos_ratioavg6,963.1999302438102
rankp_ctarjeta_visa,954.9714578323366
rankn_mautoservicio,937.0326165256498
rankp_mtarjeta_master_consumo,837.4880392459233
mprestamos_personales_delta1,795.8705986433031
mprestamos_personales,757.203026037534
rankp_ccaja_ahorro,754.0183975556691
rankp_mplazo_fijo_dolares,733.2559055490494
rankp_mcuenta_corriente,728.4863954130808
rankp_mcuentas_saldo,727.5928089857102
mpayroll,679.0066606693268
cdescubierto_preacordado_delta2,655.4234647541048
rankp_cproductos_1,608.5431387119294
cdescubierto_preacordado,579.6879234091441
rankp_Visa_mpagominimo,572.7434340419768
mpasivos_margen,543.9827669219969
ccomisiones_mantenimiento_ratioavg6,528.9060551478067
ctrx_quarter,516.4165619223912
ctrx_quarter_ratioavg6,498.16456830151867
rankp_ccallcenter_transacciones,460.78362833976746
rankp_mprestamos_personales,446.42932355403894
ctrx_quarter_delta1,405.26242920335136
mpagomiscuentas,402.5529185590743
mprestamos_personales_delta2,399.2804765777588
Master_delinquency,366.77996737480163
mactivos_margen,357.51664486567176
ccaja_seguridad,356.99338914267213
ccomisiones_mantenimiento_tend6,356.7880389417013
rankn_mcaja_ahorro,336.1543744732538
mcomisiones_mantenimiento_tend6,334.9124531908035
Visa_status,295.87332200304667
rankp_ccaja_seguridad_1,294.91240313879644
Visa_mpagominimo,292.68176733716325
rankp_cextraccion_autoservicio,290.8006619640986
rankp_mpasivos_margen,290.69458458073933
ctarjeta_visa_transacciones,290.0216555690766
mpayroll_sobre_edad_ratioavg6,289.9508858998616
cliente_edad,282.5750518522263
mcuenta_corriente_tend6,272.61229635969795
Visa_Finiciomora_lag1,272.3312789446513
mprestamos_personales_tend6,269.8604949366252
mcuentas_saldo_ratioavg6,265.37261649894714
ctarjeta_visa_tend6,262.7736889050801
mcaja_ahorro_dolares_ratioavg6,247.81307870133722
foto_mes,245.00558952363335
mpayroll_ratioavg6,243.85591913382214
ctarjeta_master_transacciones_ratioavg6,243.52477734883627
mrentabilidad_annual_max6,240.93253246339162
cproductos_delta1,239.0184787502289
Visa_fechaalta,218.7314179464976
cprestamos_personales_ratioavg6,211.27161288865406
cdescubierto_preacordado_tend6,206.92463519795731
mcuentas_saldo_delta2,193.10239454491926
rankn_mpayroll,192.36742384179433
thomebanking_ratioavg6,186.97379059696198
rankp_thomebanking_1,184.40672936598455
rankp_mautoservicio,179.8929103603363
cliente_edad_min6,176.9616732972463
rankp_tcallcenter,176.8891675748825
cdescubierto_preacordado_delta1,172.15333458201087
mcuentas_saldo_delta1,170.5082431297302
ccaja_ahorro_tend6,170.37663888613378
rankp_mpayroll,169.48082920074467
rankn_mcuentas_saldo,167.33386332035064
cproductos,164.02134352302556
cpayroll_trx_ratioavg6,162.33228665002187
ctrx_quarter_normalizado_ratioavg6,162.23585670693714
mactivos_margen_max6,161.8379735361735
ctrx_quarter_normalizado_delta1,161.3103595348994
internet_ratioavg6,161.09797460269928
mtarjeta_visa_consumo_ratioavg6,161.03089993381505
Visa_mpagospesos_tend6,154.81722651036583
Visa_delinquency,151.02600169817606
cdescubierto_preacordado_ratioavg6,146.5054260304769
cliente_edad_max6,145.23130987008412
rankn_mcuenta_corriente,144.32242383384707
rankp_cprestamos_personales,142.40588405609125
mttarjeta_visa_debitos_automaticos_tend6,138.75772008832294
mprestamos_personales_lag1,133.4710600830714
rankp_mcomisiones_mantenimiento_1,133.1435123186111
mcomisiones_mantenimiento_ratioavg6,132.1392900079091
mpayroll_delta2,131.35719849205017
cliente_antiguedad,129.80870626322428
rankp_cproductos,128.90913633823396
ccaja_ahorro,120.17438482411701
Visa_mpagominimo_tend6,120.16279920736946
kmes_tend6,115.85156070009867
rankn_mactivos_margen,114.93836293347675
mcuenta_debitos_automaticos,113.84583882300059
mcuentas_saldo_tend6,113.38260732428233
cliente_edad_lag1,107.5085846494039
mplazo_fijo_dolares_ratioavg6,105.76667512257892
ccallcenter_transacciones_ratioavg6,104.44843502330782
cproductos_delta2,104.35755053520204
ctarjeta_visa_debitos_automaticos_ratioavg6,102.97838740666708
rankn_mprestamos_personales,97.56677384090425
mtransferencias_recibidas,97.1622128314972
cliente_edad_lag2,95.23430771636964
ccuenta_debitos_automaticos_tend6,92.39052077007292
mrentabilidad_max6,91.92787059084576
ccuenta_debitos_automaticos_ratioavg6,90.53770452467603
Master_mpagominimo_tend6,90.23854845492045
cdescubierto_preacordado_min6,89.85370035235088
numero_de_cliente,87.63657805665335
Master_fechaalta,86.87003116512298
mcaja_ahorro_ratioavg6,85.24819077936807
rankp_mextraccion_autoservicio,84.7681462284724
rankp_Visa_msaldototal,84.1165184729894
mpayroll_sobre_edad_delta2,83.89308000564573
mcuenta_corriente_delta2,81.47016991901397
rankp_ccajas_consultas,80.0358595263163
rankn_ccaja_ahorro,79.59649197959898
cliente_antiguedad_lag2,79.28474121475219
mrentabilidad_annual,75.54867091846465
rankn_mpasivos_margen,74.7884068959554
mpasivos_margen_ratioavg6,74.55873822816214
Visa_mpagominimo_lag2,73.70390870030721
Master_fultimo_cierre,72.92476488463085
rankn_ctarjeta_visa_transacciones,72.65004643313088
rankp_Master_msaldopesos,72.02255753866828
mactivos_margen_min6,71.47744666163126
mrentabilidad_annual_lag2,71.38711459636689
ccomisiones_mantenimiento_delta1,70.96339765167235
mcaja_ahorro_max6,70.89050405534108
rankn_Visa_mpagominimo,70.26935197766623
rankp_mpagomiscuentas,69.51182010523479
mactivos_margen_lag2,69.28680268383026
mcuenta_corriente_min6,67.72870627848307
rankn_mtarjeta_master_consumo,66.36993495559692
rankp_Visa_msaldopesos,66.25048748397826
rankp_Master_mpagominimo,65.26967525259654
ctarjeta_debito_tend6,65.19933967272442
mcuenta_corriente_ratioavg6,64.65136665058135
rankp_ccaja_seguridad,64.04473782253265
mttarjeta_visa_debitos_automaticos_ratioavg6,64.00537111822764
ccajas_consultas_ratioavg6,63.12032670211792
rankn_Master_mpagominimo,63.07073979377746
Master_mpagominimo,62.53404454962412
mcaja_ahorro_min6,62.374810010274246
cprestamos_personales_lag2,61.95341862805684
Master_status,61.05516731643676
mcuenta_debitos_automaticos_ratioavg6,60.24073076279958
mcomisiones_mantenimiento_lag2,59.95121683947245
cliente_antiguedad_min6,59.76630740928649
mtarjeta_master_consumo,59.761364430109666
ctrx_quarter_normalizado_delta2,58.79360326703389
rankp_mactivos_margen,58.13641400051118
rankp_Visa_mfinanciacion_limite,57.54769295120239
mprestamos_personales_lag2,57.236018256187435
mpasivos_margen_max6,56.76699850114186
Visa_cconsumos_ratioavg6,54.96102070713043
Visa_msaldopesos_ratioavg6,53.1966701780955
Master_msaldopesos,50.89614795017243
ctarjeta_debito_ratioavg6,50.39199461523692
mpayroll_sobre_edad_lag2,49.27092925866445
mtransferencias_emitidas_ratioavg6,48.63233400440216
mttarjeta_visa_debitos_automaticos_delta2,47.86471680863699
ccomisiones_mantenimiento_delta2,47.37513907941183
Visa_cconsumos_lag2,46.22594100252788
Master_fultimo_cierre_lag2,46.07560932795207
Visa_fechaalta_lag2,45.31106497923533
mpasivos_margen_tend6,45.19745458698272
Master_fechaalta_lag2,44.93609476788837
rankn_mpagomiscuentas,44.62870535850524
rankp_mcuenta_debitos_automaticos,44.39586559899648
cliente_antiguedad_lag1,43.53716299025218
rankn_cdescubierto_preacordado,43.48018990707398
cproductos_tend6,43.40059584363302
mprestamos_prendarios,43.29501683680217
Visa_msaldopesos,43.27531407896678
Visa_fechaalta_ratioavg6,43.0541298564275
tcallcenter_ratioavg6,42.91861889902751
rankp_ccajas_otras,42.54912654685974
mcaja_ahorro_lag1,42.36066704750063
Visa_mpagominimo_lag1,41.512632698376976
kmes_ratioavg6,41.12411197662354
Visa_Fvencimiento,41.061104000409436
Visa_fechaalta_lag1,40.76280262883505
internet,39.30540411631266
rankp_ctarjeta_debito,39.173741657892855
minversion1_pesos,38.461279301961255
rankp_thomebanking,38.42048278299968
Visa_delinquency_ratioavg6,38.36589051914215
Master_mfinanciacion_limite,37.945998594601946
mactivos_margen_lag1,37.91006768226624
Master_msaldototal,37.7304625005722
mactivos_margen_tend6,37.68550393486023
mrentabilidad,37.49831413459777
rankn_cproductos_1,36.59378032620748
rankp_Master_mlimitecompra,36.18683122920989
mcaja_ahorro_dolares_delta1,36.119388403574625
ccaja_ahorro_ratioavg6,35.77361367034912
rankp_Master_msaldototal,35.46230459976196
mcomisiones_max6,34.157994764327995
Master_mlimitecompra,33.81893693161011
Visa_msaldototal_ratioavg6,33.55456742827098
mtarjeta_visa_consumo_tend6,33.27649487622579
mpayroll_lag2,32.94112865575154
rankp_ccomisiones_mantenimiento,32.77420359071096
rankp_Visa_mlimitecompra,32.48908992640178
rankp_chomebanking_transacciones,32.00676108678182
Visa_mfinanciacion_limite_lag2,31.978181681632986
Master_delinquency_tend6,31.882394210815434
mactivos_margen_ratioavg6,31.87770013173422
minversion2,31.764807837804156
Visa_msaldototal,31.25293171056111
Visa_mconsumospesos,30.605890350023905
Master_fechaalta_ratioavg6,30.589364225387577
cliente_antiguedad_ratioavg6,29.928382294654842
rankp_mcomisiones_mantenimiento,29.67469559192657
kmes_lag1,29.65938233502705
rankn_cprestamos_personales,29.5788598394394
ctransferencias_emitidas_ratioavg6,29.531923610369365
ccallcenter_transacciones_tend6,29.46610363165537
cprestamos_personales_min6,29.20919222450256
chomebanking_transacciones_delta2,28.99628843148549
thomebanking,28.808358552932738
mcuenta_corriente_lag2,28.147818826357522
mcuenta_debitos_automaticos_tend6,28.032801324844367
cprestamos_personales_delta2,27.848191383997598
Master_mpagominimo_lag2,27.53254138120015
mrentabilidad_annual_min6,27.465034156163536
cprestamos_personales,27.414888438860576
mpayroll_tend6,27.407055914243067
ctrx_quarter_delta2,27.383017727851872
rankp_Visa_status,27.314922223409024
ccheques_emitidos_ratioavg6,26.994645219167076
tmobile_app_ratioavg6,26.9588095480601
thomebanking_tend6,26.769473304430637
mcuentas_saldo_max6,26.39276480547587
mrentabilidad_annual_lag1,26.26973816013336
mttarjeta_visa_debitos_automaticos_lag2,26.15946598498026
rankp_Master_mfinanciacion_limite_1,25.610004443486527
ccomisiones_otras_tend6,25.582879566828407
internet_tend6,25.51557218297323
internet_max6,25.12203076998393
Master_Fvencimiento,25.102861356417336
ccomisiones_mantenimiento_lag2,24.940420522054044
ccaja_seguridad_lag1,24.870103555679325
mcomisiones_mantenimiento,24.373648464838663
internet_min6,24.30273991966248
Visa_delinquency_tend6,24.192833948135377
rankn_Visa_msaldopesos,23.844689471562706
Master_mpagospesos_ratioavg6,23.843844345092766
mprestamos_personales_max6,23.806683354377746
rankp_mrentabilidad_annual,23.331802393913268
mcuenta_corriente_max6,23.139586205164594
chomebanking_transacciones_ratioavg6,23.074574820518492
mtarjeta_visa_descuentos,23.031789100646968
mcaja_ahorro_dolares,22.850636633872988
mcuentas_saldo_min6,22.6385458316803
rankp_mtransferencias_emitidas,22.385348656972248
Master_fechaalta_lag1,22.139499532381695
Visa_mfinanciacion_limite,21.820979438463848
mpayroll_sobre_edad_tend6,21.550533877054843
ctarjeta_visa_debitos_automaticos_lag2,21.505588818868
Visa_mlimitecompra_lag2,21.24914362303416
ctarjeta_debito_min6,21.18978416601817
kmes,20.863845104535425
mcomisiones_otras_lag2,20.829995836257932
Visa_Finiciomora_tend6,20.811856727600098
Visa_mpagominimo_delta1,20.72119375514984
Visa_msaldopesos_lag2,20.695238466262822
rankp_mtransferencias_recibidas_1,20.57822818088532
ctarjeta_master_ratioavg6,20.39368967183431
mpayroll_delta1,20.32143810717265
ccaja_ahorro_max6,20.195524209976195
cpayroll_trx_tend6,20.185495752016706
cplazo_fijo_tend6,19.956058893839515
mautoservicio,19.917220739364623
Master_msaldopesos_tend6,19.88546561654409
Visa_mconsumospesos_lag2,19.664910195032753
ctarjeta_visa_transacciones_tend6,19.238815109252926
Visa_mpagospesos_ratioavg6,18.946494733492536
cpagomiscuentas_tend6,18.933883267084756
chomebanking_transacciones,18.74599746036529
ccomisiones_mantenimiento,18.59067889595032
mpayroll_sobre_edad_delta1,18.361008256276452
ccuenta_debitos_automaticos_delta2,18.21564789072672
mplazo_fijo_dolares_tend6,18.103445265452066
mcomisiones_mantenimiento_lag1,18.026737140337623
mcheques_emitidos_ratioavg6,17.99777977275848
Visa_mpagominimo_delta2,17.967106881141667
mtransferencias_emitidas_tend6,17.89393814182282
Visa_mconsumospesos_lag1,17.65960051949819
mcuenta_corriente_lag1,17.64381538645426
rankp_mcaja_ahorro_dolares,17.363674046516415
ccajas_transacciones_ratioavg6,17.362422297795614
rankn_cpayroll_trx,17.340769586245226
Master_msaldototal_tend6,16.947114749908447
Visa_cconsumos_lag1,16.891879667917895
Visa_cconsumos,16.589321268717445
rankn_mtransferencias_recibidas,16.351167303721112
Visa_fechaalta_tend6,16.25766102822622
rankp_Visa_Fvencimiento,16.181661748568217
ctrx_quarter_normalizado_lag2,15.63819082927704
Visa_Finiciomora_ratioavg6,15.59516870244344
ctrx_quarter_normalizado_lag1,15.51352286974589
mtransferencias_emitidas_lag1,15.403609636942546
ctrx_quarter_tend6,15.157026915550235
mcaja_ahorro_dolares_tend6,15.039438564300537
mcaja_ahorro_dolares_max6,14.869310740470885
Master_mfinanciacion_limite_lag2,14.773375624656671
ctarjeta_visa,14.76367076174418
rankp_tmobile_app,14.681734946250915
mtarjeta_visa_consumo_max6,14.63035197989146
mrentabilidad_lag2,14.588256340344746
rankp_Master_cconsumos,14.54420405832926
mcaja_ahorro_dolares_min6,14.542300028483075
rankp_Master_mpagospesos,14.534900066375736
mcomisiones_lag2,14.517391393661502
rankn_Visa_msaldototal,14.428599708875018
Visa_mfinanciacion_limite_lag1,14.407301122983295
mtransferencias_recibidas_ratioavg6,14.355884497642517
Visa_Fvencimiento_lag2,14.345787741343182
Visa_fultimo_cierre,14.235832911491396
Visa_msaldopesos_lag1,14.069231789588924
Visa_mlimitecompra,14.048587383588155
ctrx_quarter_lag2,14.02553566010793
Master_mfinanciacion_limite_lag1,13.89766630109151
Visa_msaldopesos_tend6,13.797720291773478
Master_mlimitecompra_lag2,13.78260996691386
Visa_fultimo_cierre_lag2,13.480118166287742
ctarjeta_master_transacciones,13.343151470820112
ctarjeta_master_debitos_automaticos_ratioavg6,13.303395432154337
Master_delinquency_ratioavg6,13.230641029357912
ctarjeta_visa_debitos_automaticos_tend6,13.08895769373576
ccallcenter_transacciones,12.997488304138185
ctrx_quarter_lag1,12.83705717372894
Master_msaldopesos_lag2,12.77278147029877
rankp_cpagomiscuentas,12.764647973378496
ccallcenter_transacciones_delta2,12.737163789749141
ctarjeta_visa_debitos_automaticos_lag1,12.735962087631224
cprestamos_personales_tend6,12.612728624979656
cplazo_fijo_ratioavg6,12.297741904258727
rankp_mrentabilidad,12.202337680180868
rankp_Visa_mfinanciacion_limite_1,12.132216128667194
Master_mfinanciacion_limite_tend6,12.09468952846527
Visa_Fvencimiento_lag1,11.927597594261167
Master_Fvencimiento_ratioavg6,11.878475268999734
rankp_ccuenta_debitos_automaticos,11.85222289721171
mrentabilidad_min6,11.805296566327415
ctarjeta_debito,11.7454314215978
tcuentas_lag1,11.679010629018144
Visa_msaldototal_tend6,11.67473061879476
Master_Fvencimiento_lag1,11.619215568860376
rankp_Visa_mpagospesos,11.534373611768086
rankp_ccajas_transacciones,11.521925869305928
Visa_cconsumos_delta2,11.262015958468117
Master_mlimitecompra_lag1,11.038085301399233
