,0
rankp_ctrx_quarter,171710.7324317932
ctrx_quarter_normalizado,95897.58013925553
rankn_ctrx_quarter,68230.55472253164
mcaja_ahorro,56988.74090499878
rankp_mcaja_ahorro,48196.61730982463
ctrx_quarter,37402.20316435496
rankp_mtarjeta_visa_consumo,37101.67955697377
rankn_mcaja_ahorro,23887.08883743286
mcuentas_saldo,21087.07276236216
ctarjeta_visa_transacciones_ratioavg6,21000.13900337219
cpayroll_trx,20713.377048365273
Visa_Finiciomora,19853.122267977396
rankn_mtarjeta_visa_consumo,18637.92187309265
mprestamos_personales_ratioavg6,17743.6993004481
mpayroll_sobre_edad,17463.646237468718
mtarjeta_visa_consumo,16296.743949953716
Visa_status,13796.779389826457
rankp_ctarjeta_visa_transacciones,13404.578780492147
rankp_ctarjeta_visa,13203.50885998408
rankp_cpayroll_trx,11928.593564605713
mpayroll,10631.64743572871
ctarjeta_visa_ratioavg6,10308.347707684834
cproductos_ratioavg6,9339.336787160237
rankp_mcuenta_corriente,8850.638480313619
rankp_cdescubierto_preacordado,8603.18230158488
rankp_mcuentas_saldo,8020.605818430583
mprestamos_personales,7932.141835435232
rankp_mtarjeta_master_consumo,7688.770394007365
mcuenta_corriente,7016.441023317972
rankp_mplazo_fijo_dolares,6059.668292427063
ctarjeta_visa_transacciones,5805.190847015381
rankp_ccaja_ahorro,5421.812153879801
cdescubierto_preacordado,4895.165555890401
mprestamos_personales_delta1,4702.665898132324
ctrx_quarter_ratioavg6,4697.285985946655
rankp_mprestamos_personales,4536.532638263702
ccomisiones_mantenimiento_ratioavg6,4353.670805899302
Master_Finiciomora,4301.868692239125
cdescubierto_preacordado_delta2,3994.414161046346
rankp_Visa_mpagominimo,3833.387554931641
rankn_ctarjeta_visa_transacciones,3633.192492675781
ccomisiones_mantenimiento_tend6,3598.0212144215902
Visa_delinquency,3573.9580169677733
cdescubierto_preacordado_tend6,3552.5047002792357
mprestamos_personales_min6,3383.6968819618223
cdescubierto_preacordado_ratioavg6,3289.5057636260985
rankn_mcuentas_saldo,3100.786782455444
rankp_ccaja_seguridad_1,3033.893440278371
mcomisiones_mantenimiento_tend6,2941.5141627629596
ctarjeta_visa,2901.013956705729
rankn_mautoservicio,2820.5339537938435
mpasivos_margen,2727.288502883911
rankp_ccallcenter_transacciones,2696.6495525995892
rankp_mpasivos_margen,2695.377449226379
rankn_mprestamos_personales,2691.0857981999716
mcuenta_corriente_tend6,2680.532542705536
mprestamos_personales_delta2,2646.939746761322
mpayroll_ratioavg6,2596.2555578867596
ctrx_quarter_delta1,2382.7933024724325
foto_mes,2376.998931503296
Visa_mpagominimo,2372.0288354237873
rankp_cproductos_1,2361.287188720703
rankn_mcuenta_corriente,2274.023062960307
mpayroll_sobre_edad_ratioavg6,2251.6383796691894
rankp_mpayroll,2236.3823307037355
ccaja_seguridad,2179.6226171811422
cpayroll_trx_ratioavg6,2176.9075101216636
Visa_mpagospesos,2159.161527697245
ccaja_ahorro,2125.4566086451214
mpagomiscuentas,2121.3672411282855
mprestamos_personales_tend6,2117.297743988037
cdescubierto_preacordado_delta1,2110.063376490275
mcaja_ahorro_dolares_ratioavg6,1963.476237297058
cproductos_delta1,1918.321551513672
Visa_fechaalta,1883.6021661758423
Master_status,1878.6182339986165
cliente_edad,1874.3079728444418
cproductos_delta2,1859.5991617202758
ctrx_quarter_normalizado_ratioavg6,1854.8657375335692
mcuentas_saldo_delta2,1763.3433117866516
rankn_mpayroll,1749.764702542623
mcuentas_saldo_tend6,1710.3145541508993
Visa_Finiciomora_tend6,1674.4381874720254
mactivos_margen,1648.4440468788148
ctrx_quarter_normalizado_delta1,1640.086126645406
mcuentas_saldo_delta1,1638.7715789794922
ctarjeta_master_transacciones_ratioavg6,1630.3861897786458
Visa_status_tend6,1628.45190076828
rankp_mautoservicio,1621.9500089009603
rankp_tcallcenter,1609.9944551467895
rankp_ccaja_seguridad,1578.8815806070963
rankp_cproductos,1474.192611948649
cprestamos_personales_ratioavg6,1380.2244277318318
mcuentas_saldo_ratioavg6,1357.8010802904764
ccaja_ahorro_ratioavg6,1357.1681166966757
Master_fechaalta,1331.5170225779216
rankp_Visa_msaldototal,1315.1878851572671
mcomisiones_mantenimiento_ratioavg6,1302.2456031799315
internet_max6,1293.13015944163
rankn_cdescubierto_preacordado,1252.1969635645548
Visa_mpagospesos_tend6,1240.8588520050048
mpayroll_delta2,1231.5629693349204
Visa_Finiciomora_delta1,1215.926543490092
Visa_Finiciomora_ratioavg6,1131.9909364064536
cprestamos_personales_delta2,1118.043526617686
rankp_Visa_msaldopesos,1109.6518253326417
mtarjeta_visa_consumo_ratioavg6,1102.1899399439494
mpayroll_sobre_edad_delta2,1092.2455417950948
mttarjeta_visa_debitos_automaticos_tend6,1091.2742073059082
rankp_cprestamos_personales,1067.6917598406474
kmes_tend6,1045.6555926005046
Master_delinquency,1044.1147179921468
cliente_edad_lag1,1042.437097899119
cliente_edad_min6,1023.5072076161703
rankn_mpasivos_margen,1013.9258651097615
thomebanking_ratioavg6,1006.3442776997884
Visa_Finiciomora_lag1,1004.8727109909057
rankp_Master_msaldopesos,997.6656548182169
cproductos_tend6,980.1288001696269
internet_ratioavg6,968.4006601333618
cliente_edad_max6,963.9077914555868
ccuenta_debitos_automaticos_ratioavg6,953.3613310496013
rankn_mtarjeta_master_consumo,908.9982119878133
Visa_mpagominimo_tend6,897.2006136576334
rankp_mcomisiones_mantenimiento_1,845.7274393717448
rankp_mextraccion_autoservicio,818.0820688883464
cproductos,806.0442785263061
rankp_mpagomiscuentas,792.7033971150717
rankn_cpayroll_trx,789.2256896336874
mplazo_fijo_dolares_ratioavg6,775.6925702412923
ccaja_ahorro_max6,748.6283651987711
ccomisiones_mantenimiento_delta1,732.1923606554667
Master_mpagominimo_tend6,704.0159994125366
mcuenta_corriente_delta2,702.3928911209107
ccallcenter_transacciones_ratioavg6,687.0101724942525
mcaja_ahorro_ratioavg6,679.9978671391805
ctarjeta_visa_debitos_automaticos_ratioavg6,658.1943971633912
mtarjeta_master_consumo,654.7168137232462
cliente_edad_lag2,653.749906539917
ccaja_ahorro_tend6,648.8272956212362
cdescubierto_preacordado_min6,643.3726975758871
rankn_mactivos_margen,642.3865935961405
Master_mpagominimo,630.2966335614523
Visa_msaldototal,628.0485812505086
mcuenta_corriente_ratioavg6,621.9577648798625
mcuenta_debitos_automaticos,618.8154533704122
mtarjeta_visa_consumo_tend6,616.8183347066243
mttarjeta_visa_debitos_automaticos_ratioavg6,614.3595370610554
mrentabilidad_annual_lag2,603.6074375788371
ctarjeta_visa_delta2,598.6246528625488
mttarjeta_visa_debitos_automaticos_delta2,593.8637361526489
mcuenta_debitos_automaticos_ratioavg6,593.6353731155396
mtransferencias_recibidas,587.0838989257812
Visa_mpagominimo_lag2,586.8040769259135
mactivos_margen_ratioavg6,573.6595941543579
mrentabilidad_annual_max6,566.0744863510132
rankp_ccajas_consultas,562.9502477010091
rankn_Visa_mpagominimo,560.0085898081462
rankn_mpagomiscuentas,550.3403226852417
ccuenta_debitos_automaticos_tend6,548.4463593800863
rankp_ccajas_otras,523.1049965222677
ccomisiones_mantenimiento_delta2,513.6043557484944
mactivos_margen_lag2,505.05793069203696
rankp_Master_mpagominimo,497.9902634938558
rankp_thomebanking_1,493.5782165527344
ctarjeta_master_ratioavg6,492.02142035166423
Master_msaldopesos,484.3135125478109
Visa_msaldopesos,479.85726232528685
mprestamos_personales_lag1,476.0097021738688
mpayroll_lag2,474.28526935577395
mactivos_margen_max6,465.3707531929016
ctarjeta_debito_tend6,460.9919275919596
rankp_mcomisiones_mantenimiento,451.0217580795288
ccajas_consultas_ratioavg6,438.20004320144653
cprestamos_personales,434.57142035166424
mpayroll_sobre_edad_lag2,433.69031416575115
mprestamos_prendarios,429.3131974856059
mpayroll_sobre_edad_delta1,426.62519283294677
rankp_mactivos_margen,423.30596631368
Master_fultimo_cierre,420.5844964981079
mactivos_margen_lag1,418.3125699361165
mtransferencias_emitidas_ratioavg6,415.12865619659425
mpayroll_delta1,414.01858342488606
ctarjeta_visa_tend6,412.593704922994
mrentabilidad_max6,410.0013627052307
ccaja_seguridad_ratioavg6,408.51862920125325
Visa_mpagominimo_lag1,397.40356063842773
tcallcenter_ratioavg6,393.4629995346069
tcuentas_lag1,392.68136704762776
mpayroll_tend6,387.49680671691897
mcaja_ahorro_lag1,386.3393896738688
