,0
rankp_ctrx_quarter,55583.42624192873
rankn_ctrx_quarter,11452.665011922834
rankn_mcaja_ahorro,7132.449535043716
rankp_mcaja_ahorro,6350.713526631036
ctarjeta_visa_ratioavg6,4808.366398335774
rankp_mtarjeta_visa_consumo,4799.141642268816
cpayroll_trx,3734.068255101522
ctrx_quarter_normalizado,3182.3103269033422
rankp_cdescubierto_preacordado,2778.5478798084255
mprestamos_personales_ratioavg6,2628.887637578964
Visa_Finiciomora,2575.959734406153
mcuentas_saldo,2575.117215658188
mpayroll,2182.4724571749375
rankn_mtarjeta_visa_consumo,2068.073357427597
ctarjeta_visa_transacciones_ratioavg6,1906.3929721380873
rankp_cpayroll_trx,1571.5610513483684
mcuenta_corriente,1373.2687129297258
Visa_mpagospesos,1365.773165719986
Visa_status_tend6,1281.0004575589496
rankp_mcuenta_corriente,1222.5000804980596
rankp_ctarjeta_visa_transacciones,1191.4268241640727
cproductos_ratioavg6,1144.681057782491
mpayroll_sobre_edad,1100.0065456206003
mprestamos_personales,1093.5460314483641
rankp_mcuentas_saldo,1018.6593798405331
rankp_mtarjeta_master_consumo,998.4223948319752
rankp_mplazo_fijo_dolares,914.0746429961524
rankn_mautoservicio,796.7377278772989
mprestamos_personales_min6,776.6598233375547
ccomisiones_mantenimiento_ratioavg6,748.9597589028677
cdescubierto_preacordado_delta2,738.3177191918693
mcaja_ahorro,729.358906783104
mprestamos_personales_delta1,723.859781938235
rankp_ctarjeta_visa,721.7121378790536
rankp_Visa_mpagominimo,676.877355076154
mcomisiones_mantenimiento_ratioavg6,655.9333094981513
rankp_ccaja_ahorro,634.6118392219543
cdescubierto_preacordado,611.2751899903616
ctrx_quarter,606.5494140625001
ccomisiones_mantenimiento_tend6,564.1850480537413
mpasivos_margen,548.5874190839132
mrentabilidad_annual_max6,536.3147381849288
ctrx_quarter_ratioavg6,533.4110284976958
Visa_status,497.9453456821442
rankp_cextraccion_autoservicio,469.5301423161825
ccaja_seguridad,464.3328098462422
rankp_mprestamos_personales,447.64832183837893
mcomisiones_mantenimiento_tend6,415.65550643189744
rankp_mpasivos_margen,408.35559882609056
foto_mes,386.87081757132216
rankp_mpayroll,379.06629311497994
rankp_cproductos,368.3853912356695
Master_Finiciomora,365.27647980372114
mprestamos_personales_delta2,352.7116573632559
mtarjeta_visa_consumo,351.7902256094615
cliente_edad,345.0919743277231
ctrx_quarter_delta1,343.8753301289878
mprestamos_personales_lag2,325.0110925079981
Visa_delinquency,321.15093984603874
mpayroll_sobre_edad_ratioavg6,305.4569681383769
ctarjeta_master_transacciones_ratioavg6,304.7975218213399
mpagomiscuentas,287.05009221967055
rankp_ccallcenter_transacciones,281.0068972177505
ccaja_ahorro,276.9728718277613
cdescubierto_preacordado_tend6,270.6234760723114
mactivos_margen,269.05594570096343
Visa_mpagominimo,266.0317472238541
Visa_fechaalta,265.3283840192159
rankp_ccaja_seguridad_1,254.5083655420939
ctarjeta_visa_tend6,253.56901737531027
mcuentas_saldo_ratioavg6,245.3172131589254
mcaja_ahorro_dolares_ratioavg6,233.58064057954158
ccaja_ahorro_tend6,233.36414610036218
ctarjeta_visa_transacciones,232.234968460083
cproductos_delta1,231.57779158655805
cprestamos_personales_ratioavg6,224.25503741264342
mcuentas_saldo_tend6,219.20249968528748
mpayroll_ratioavg6,217.5490835908254
thomebanking_ratioavg6,213.97809478664396
rankp_Master_msaldopesos,213.73502227783194
rankn_mcuentas_saldo,212.02423896090193
mcuentas_saldo_delta2,210.43260966523488
mcuenta_corriente_tend6,208.18550487677254
rankp_tcallcenter,206.93532183011376
rankn_Visa_mpagominimo,199.67020361391698
mcuentas_saldo_delta1,195.55872329330444
mprestamos_personales_tend6,190.89893654251097
rankp_thomebanking,190.62188941637666
ctrx_quarter_normalizado_delta1,186.01899695650732
cpayroll_trx_ratioavg6,184.95120761680602
tcallcenter_ratioavg6,181.57463302644095
cliente_edad_lag1,175.42689018154144
mttarjeta_visa_debitos_automaticos_tend6,169.75170683987938
cproductos,167.18582772191365
cproductos_delta2,166.47739652379352
cdescubierto_preacordado_ratioavg6,166.37816808954872
rankp_cprestamos_personales,164.60028967603048
mcaja_ahorro_ratioavg6,161.27805772590636
cdescubierto_preacordado_delta1,160.07344110616043
rankn_cproductos_1,159.5186397285461
ccomisiones_mantenimiento_delta1,157.83552494621281
rankp_mcomisiones_mantenimiento,151.0773054412206
rankn_mactivos_margen,148.70573689397176
ctrx_quarter_normalizado_ratioavg6,147.21451033020023
rankp_mautoservicio,145.3196124280294
cliente_edad_min6,144.3722703634898
Visa_mpagospesos_tend6,143.61313721879324
internet_max6,143.3065396925608
rankn_mprestamos_personales,141.85423992220558
ccuenta_debitos_automaticos_ratioavg6,140.25066225242617
Visa_mpagominimo_tend6,134.42069802951812
internet_ratioavg6,132.66867903200784
cliente_antiguedad,131.70397181065877
mcuentas_saldo_lag1,123.01433547178904
Master_status,120.32593273989359
mrentabilidad_annual_lag2,117.98933735084535
mpayroll_delta2,116.0160695743561
mcuenta_debitos_automaticos,115.97669088935852
rankp_mpagomiscuentas,113.51197221056619
ccaja_ahorro_ratioavg6,112.0397785695394
mcuenta_corriente_delta2,106.6851096245448
cliente_edad_lag2,106.15405314509073
mcuenta_corriente_min6,105.40678741900123
rankn_mpayroll,105.03004272588093
Visa_mpagominimo_lag2,104.60252975463868
rankp_mextraccion_autoservicio,101.35837759685516
rankn_mcuenta_corriente,101.02515511639915
Visa_Finiciomora_lag1,96.19134713109334
rankp_ccajas_consultas,95.7071042108536
ctarjeta_visa,94.43562303225202
numero_de_cliente,91.98254147052765
mcomisiones_mantenimiento_lag2,91.10504898707072
mactivos_margen_max6,90.68621443176268
rankn_mpasivos_margen,88.20531215922038
Master_mpagominimo_tend6,87.36976529312133
