,0
rankp_ctrx_quarter,203121.92210903167
ctrx_quarter_normalizado,98039.86524531046
rankn_ctrx_quarter,86307.44706770578
rankp_mcaja_ahorro,70801.15547936758
rankp_mtarjeta_visa_consumo,44073.059024937946
ctrx_quarter,42366.75913817088
rankn_mcaja_ahorro,31612.322143173216
cpayroll_trx,27877.422305933633
mcaja_ahorro,26607.663450050353
rankn_mtarjeta_visa_consumo,25392.17728996277
mcuentas_saldo,22898.335938707987
ctarjeta_visa_transacciones_ratioavg6,22493.544635454815
Visa_Finiciomora,19802.76504643758
mprestamos_personales_ratioavg6,19298.178797594705
rankp_cpayroll_trx,17460.43356812795
mpayroll,16815.825184377034
rankp_ctarjeta_visa_transacciones,16124.182368151347
Visa_status,15756.005808703105
mpayroll_sobre_edad,12199.275237846374
rankp_mcuentas_saldo,11487.114263184865
cproductos_ratioavg6,9999.22773914337
mtarjeta_visa_consumo,9253.637971878052
rankp_mtarjeta_master_consumo,9161.149350992839
mprestamos_personales,9098.724666913351
ctarjeta_visa_ratioavg6,8931.859317525228
rankp_cdescubierto_preacordado,8745.831208101908
rankp_mcuenta_corriente,8076.521645100912
rankp_ctarjeta_visa,7194.370379511515
mcuenta_corriente,6990.592386309306
rankp_mplazo_fijo_dolares,6835.053524208069
ccomisiones_mantenimiento_ratioavg6,6454.415282154083
ccomisiones_mantenimiento_tend6,6024.1675211588545
rankp_mpayroll,5683.593655776977
ctrx_quarter_ratioavg6,5425.871563720703
ctarjeta_visa,5405.719681358338
cdescubierto_preacordado_delta2,5076.520773315429
ctarjeta_visa_transacciones,4537.846252377828
Master_Finiciomora,4490.56850528717
mprestamos_personales_delta1,4482.1142258962
rankn_mcuentas_saldo,4468.138633028666
rankp_mprestamos_personales,4465.938030465444
cdescubierto_preacordado,4336.9454685211185
cdescubierto_preacordado_tend6,4240.034238179524
cdescubierto_preacordado_ratioavg6,4205.917702166239
rankp_Visa_mpagominimo,4155.524649365743
rankn_ctarjeta_visa_transacciones,4063.406287765503
mprestamos_personales_min6,4033.858809789022
rankp_ccaja_ahorro,3991.862672742208
mcomisiones_mantenimiento_tend6,3875.765491612752
mpasivos_margen,3803.4877908706667
rankn_mprestamos_personales,3802.791360727946
ccaja_ahorro,3479.8346243540445
rankp_mpasivos_margen,3454.1008967081707
mcomisiones_mantenimiento_ratioavg6,3437.322101465861
Visa_delinquency,3207.4899562835694
foto_mes,3097.1734711964923
ccaja_seguridad,3095.3672538757323
rankn_mpayroll,2945.6867084503174
mcuenta_corriente_tend6,2889.120057996114
mpayroll_ratioavg6,2889.0425914128623
Visa_mpagominimo,2752.5878494262697
mprestamos_personales_delta2,2737.5618991216024
cproductos_delta2,2672.949253018697
Visa_status_tend6,2665.230135790507
rankn_mautoservicio,2602.463483111064
rankp_ccaja_seguridad_1,2601.70664768219
cpayroll_trx_ratioavg6,2506.730168660482
Master_status,2348.33790251414
rankp_cproductos,2329.806034215291
mcuentas_saldo_tend6,2238.613847096761
cproductos_delta1,2216.9087191899616
cdescubierto_preacordado_delta1,2216.8056950887044
ctrx_quarter_normalizado_ratioavg6,2206.7691683451335
mpayroll_sobre_edad_ratioavg6,2156.8516149202983
ctrx_quarter_delta1,2134.6889275868734
mrentabilidad_annual_max6,2086.0007639567057
mprestamos_personales_tend6,2012.497505315145
cliente_edad,1987.716490427653
mcuentas_saldo_delta2,1945.2128878275553
Visa_mpagospesos,1931.4306358973186
rankn_mpasivos_margen,1928.5099390029907
ctarjeta_master_transacciones_ratioavg6,1920.7538550694783
rankn_mcuenta_corriente,1909.0169733683267
mcuentas_saldo_delta1,1837.9702559789023
Visa_fechaalta,1837.6336193084717
mcaja_ahorro_dolares_ratioavg6,1791.967442893982
rankp_mautoservicio,1725.7556175231935
rankp_Master_msaldopesos,1702.9770668665567
cprestamos_personales_ratioavg6,1682.4249482472737
rankp_ccaja_seguridad,1621.6731339772543
ccaja_ahorro_ratioavg6,1618.8720914204916
rankp_ccallcenter_transacciones,1589.1773287455242
cprestamos_personales_delta2,1587.583572514852
mactivos_margen,1469.922634188334
mpagomiscuentas,1454.723157310486
mttarjeta_visa_debitos_automaticos_tend6,1431.1240399042765
ctrx_quarter_normalizado_delta1,1306.1292460123698
cliente_edad_lag1,1252.967038345337
rankp_Visa_msaldototal,1249.6618003845215
rankp_cproductos_1,1237.851343536377
ccomisiones_mantenimiento_delta1,1232.5457010904947
thomebanking_ratioavg6,1228.114278157552
mcuentas_saldo_ratioavg6,1189.0817770640056
mpayroll_delta2,1184.5370445887247
Visa_mpagospesos_tend6,1175.8028274536132
rankp_mpagomiscuentas,1152.5958512624104
rankp_tcallcenter,1150.2661801656088
Master_fechaalta,1145.2410346984864
rankp_cprestamos_personales,1110.6677659988404
cliente_edad_min6,1089.7703106562296
ccaja_ahorro_tend6,1089.5941851298014
mrentabilidad_annual_lag2,1080.4726681391398
ccuenta_debitos_automaticos_ratioavg6,1079.0450495402017
tcallcenter_ratioavg6,1048.0240080515543
ctrx_quarter_normalizado_lag1,1034.6383880615235
ctrx_quarter_lag1,1023.2259272893269
Visa_Finiciomora_tend6,1021.9495773951213
mpayroll_sobre_edad_delta2,1017.4904350916545
ccomisiones_mantenimiento_delta2,1009.6847007115682
ccaja_seguridad_ratioavg6,995.2835781097413
mtarjeta_visa_consumo_ratioavg6,976.2068211873373
rankp_Visa_msaldopesos,972.79781443278
mcaja_ahorro_ratioavg6,948.524152914683
cproductos_tend6,939.0610645929972
Visa_mpagominimo_tend6,927.7240626653036
cproductos,923.7173909505208
mcuenta_corriente_delta2,914.7108375549317
rankp_Master_mpagominimo,909.686553255717
internet,909.204886563619
Visa_Finiciomora_delta1,889.0510791778564
ccallcenter_transacciones_ratioavg6,876.8450392405192
Visa_Finiciomora_lag1,867.0152039210002
cliente_edad_max6,842.2141751925151
rankp_cextraccion_autoservicio,840.5675572077433
Visa_Finiciomora_ratioavg6,839.9658934911092
rankn_cpayroll_trx,832.418862660726
rankn_mtarjeta_master_consumo,828.0728036880494
Master_delinquency,796.3716026306153
rankp_Master_msaldototal,790.5289110819499
Visa_mpagominimo_lag2,784.4893865585327
rankn_mactivos_margen,763.6514722824097
ctarjeta_visa_delta2,759.5623970031738
rankn_mpagomiscuentas,757.9547761281332
mcuenta_corriente_ratioavg6,756.9657306035359
internet_lag1,731.8529191970825
cdescubierto_preacordado_min6,719.5224692662557
rankp_mcomisiones_mantenimiento,717.0659752527873
internet_max6,712.5502044677735
mcuenta_debitos_automaticos,712.1574864069621
ccaja_ahorro_max6,686.7838576634725
mcaja_ahorro_lag1,678.1138693491617
internet_ratioavg6,662.0046158790589
ctarjeta_visa_tend6,661.0642905553182
cliente_edad_lag2,653.4478634516398
mcuenta_debitos_automaticos_ratioavg6,652.7165273030599
rankp_mextraccion_autoservicio,643.3606972376506
rankn_cdescubierto_preacordado,642.912327893575
rankp_thomebanking,636.8495328903198
ctarjeta_visa_debitos_automaticos_ratioavg6,625.580665397644
mttarjeta_visa_debitos_automaticos_ratioavg6,621.4003829956055
mtarjeta_master_consumo,619.5727407455445
mpayroll_lag2,614.5509459813436
rankp_ccajas_consultas,611.000880241394
rankn_Visa_mpagominimo,609.6420559565227
mprestamos_personales_lag1,589.3443005243937
